temperature,humidity,wind_speed,vegetation,recent_fires,fire_detected
-1.8,86,4,0.487,2,0
-1.8,87,4,0.775,2,0
-1.8,89,7,0.666,2,0
-1.5,88,6,0.599,0,0
-1.5,88,7,0.378,1,0
-1.4,87,9,0.378,2,0
-1.5,89,7,0.329,2,0
-1.4,85,7,0.733,0,0
-1.4,85,9,0.601,2,0
-1.3,88,15,0.654,1,0
-1.0,91,9,0.31,0,0
-0.5,89,7,0.785,0,0
-0.2,88,9,0.716,1,0
0.2,87,13,0.406,1,0
0.8,87,20,0.391,1,0
1.8,85,22,0.392,2,0
2.6,82,13,0.452,1,0
3.0,81,13,0.562,0,0
3.8,82,15,0.516,1,0
3.1,88,15,0.446,0,0
3.2,87,19,0.606,0,0
4.0,85,20,0.37,2,0
4.4,84,24,0.446,1,0
5.3,79,30,0.483,2,0
5.2,77,35,0.528,1,0
4.6,72,39,0.693,1,0
3.9,71,32,0.4,1,0
3.7,69,33,0.557,1,0
2.9,69,32,0.596,1,0
2.6,70,32,0.323,0,0
2.3,70,26,0.604,0,0
2.0,70,33,0.385,1,0
1.9,68,39,0.333,0,0
1.8,67,44,0.774,2,0
1.5,66,43,0.783,2,0
2.2,66,30,0.704,2,0
1.7,56,48,0.452,1,0
1.1,57,37,0.349,1,0
1.1,56,33,0.642,0,0
0.0,59,33,0.52,0,0
-0.7,55,24,0.361,0,0
-2.1,57,22,0.548,2,0
-4.1,57,28,0.317,2,0
-4.8,57,24,0.755,2,0
-5.6,54,24,0.429,2,0
-5.8,58,26,0.631,0,0
-7.0,54,20,0.456,1,0
-7.4,59,17,0.56,1,0
-9.0,57,28,0.573,2,0
-9.7,54,20,0.392,1,0
-10.5,65,22,0.785,1,0
-11.3,54,33,0.688,1,0
-12.6,53,24,0.77,2,0
-12.9,60,22,0.747,0,0
-13.3,61,19,0.599,0,0
-14.0,63,19,0.761,1,0
-14.8,58,26,0.344,0,0
-15.0,56,19,0.398,0,0
-15.3,56,24,0.323,2,0
-14.9,54,22,0.463,2,0
-14.9,52,20,0.494,1,0
-15.1,54,22,0.436,1,0
-14.9,50,22,0.714,1,0
-14.8,53,19,0.478,2,0
-15.3,52,22,0.44,0,0
-15.8,53,22,0.571,2,0
-16.3,52,24,0.37,2,0
-16.9,50,24,0.701,0,0
-17.3,49,24,0.337,0,0
-17.0,52,15,0.793,1,0
-17.1,52,20,0.686,0,0
-17.3,55,17,0.399,0,0
-17.5,56,13,0.303,0,0
-17.9,58,11,0.708,0,0
-18.1,61,15,0.653,1,0
-18.5,59,13,0.665,1,0
-18.5,59,13,0.686,0,0
-18.6,62,9,0.337,0,0
-18.5,61,11,0.479,1,0
-18.2,60,11,0.358,1,0
-17.8,57,17,0.732,0,0
-16.8,61,9,0.612,2,0
-15.2,63,7,0.465,1,0
-14.2,56,13,0.332,1,0
-13.7,51,11,0.455,1,0
-12.4,53,11,0.463,0,0
-11.3,53,7,0.665,0,0
-10.2,61,11,0.619,1,0
-9.4,61,13,0.744,0,0
-8.9,71,9,0.536,0,0
-8.9,75,11,0.36,1,0
-8.4,71,9,0.657,0,0
-7.8,71,9,0.68,2,0
-7.6,73,7,0.581,0,0
-9.5,77,6,0.685,0,0
-9.6,79,6,0.547,1,0
-8.8,79,4,0.561,1,0
-7.5,81,0,0.514,2,0
-5.4,80,9,0.313,0,0
-5.0,81,11,0.354,2,0
-4.1,83,9,0.316,2,0
-7.0,82,4,0.618,1,0
-8.2,82,6,0.457,0,0
-7.1,82,9,0.554,1,0
-6.1,79,11,0.754,2,0
-6.6,76,9,0.425,2,0
-6.0,73,17,0.505,1,0
-5.6,70,22,0.678,1,0
-4.7,69,20,0.414,1,0
-4.4,66,26,0.338,1,0
-5.1,65,22,0.445,1,0
-4.3,55,26,0.381,2,0
-5.0,55,19,0.765,1,0
-6.7,56,11,0.704,0,0
-7.1,56,11,0.617,2,0
-9.2,61,7,0.736,2,0
-9.8,62,9,0.702,0,0
-9.0,63,13,0.393,0,0
-9.9,63,7,0.746,2,0
-9.4,61,9,0.57,1,0
-9.6,56,13,0.704,2,0
-10.0,55,17,0.748,2,0
-10.5,61,9,0.459,0,0
-10.6,64,0,0.355,2,0
-11.3,68,15,0.414,1,0
-11.8,71,19,0.514,0,0
-12.0,71,22,0.709,2,0
-14.4,85,22,0.73,2,0
-12.3,73,24,0.303,1,0
-12.5,71,26,0.555,2,0
-12.3,72,28,0.509,2,0
-12.0,72,17,0.411,2,0
-11.7,74,28,0.36,2,0
-11.9,74,20,0.469,1,0
-11.2,75,19,0.771,2,0
-11.5,79,19,0.462,2,0
-11.6,78,19,0.559,2,0
-11.2,78,17,0.652,0,0
-10.5,78,17,0.482,1,0
-10.5,79,15,0.786,0,0
-10.2,80,11,0.781,0,0
-9.5,79,9,0.426,1,0
-9.3,79,11,0.549,0,0
-9.0,79,7,0.45,0,0
-8.7,79,6,0.442,0,0
-8.5,80,0,0.318,1,0
-8.1,79,4,0.605,2,0
-7.8,79,4,0.551,1,0
-7.5,79,6,0.326,1,0
-6.9,80,4,0.439,1,0
-6.7,80,7,0.754,0,0
-7.0,81,7,0.42,2,0
-6.4,82,9,0.372,1,0
-6.1,82,7,0.545,1,0
-5.7,84,7,0.793,2,0
-5.4,84,9,0.421,2,0
-5.5,84,13,0.636,2,0
-4.8,83,15,0.681,0,0
-4.4,83,6,0.419,2,0
-3.7,83,11,0.664,0,0
-3.6,84,0,0.484,1,0
-3.1,84,13,0.616,0,0
-3.2,85,6,0.617,2,0
-3.0,86,6,0.568,0,0
-1.8,87,4,0.345,2,0
-1.3,88,0,0.718,0,0
-1.5,89,4,0.46,1,0
0.4,87,22,0.393,0,0
0.6,76,32,0.32,1,0
-0.6,74,32,0.595,2,0
-1.7,71,30,0.639,1,0
-3.5,69,32,0.308,2,0
-4.4,69,22,0.556,2,0
-5.9,70,13,0.413,1,0
-5.8,68,13,0.623,1,0
-5.6,69,11,0.387,0,0
-5.9,69,11,0.645,0,0
-6.4,65,17,0.493,1,0
-6.5,67,17,0.768,1,0
-7.1,65,22,0.369,1,0
-6.7,66,15,0.471,1,0
-6.5,63,15,0.357,2,0
-6.5,65,19,0.762,1,0
-6.6,61,20,0.739,1,0
-6.6,59,20,0.429,1,0
-7.2,59,17,0.63,1,0
-8.1,62,17,0.709,2,0
-8.0,62,15,0.578,0,0
-8.3,65,15,0.565,0,0
-8.3,64,11,0.421,0,0
-8.7,65,7,0.347,0,0
-9.0,68,7,0.749,0,0
-9.2,66,6,0.75,2,0
-9.8,68,0,0.617,0,0
-9.0,66,4,0.47,2,0
-8.8,70,0,0.475,2,0
-8.5,69,9,0.663,0,0
-8.4,71,11,0.749,0,0
-7.7,72,11,0.744,0,0
-6.8,72,15,0.69,1,0
-5.9,70,13,0.621,2,0
-5.4,75,11,0.342,0,0
-4.8,76,9,0.381,1,0
-3.7,77,7,0.749,2,0
-2.5,73,9,0.603,1,0
-1.7,74,7,0.305,1,0
-1.4,76,7,0.351,0,0
-1.0,74,9,0.632,2,0
-1.3,72,11,0.303,1,0
-1.4,72,15,0.38,2,0
-1.0,71,20,0.574,0,0
-1.1,70,19,0.646,2,0
-1.5,70,15,0.626,1,0
-1.7,71,11,0.412,1,0
-0.3,64,19,0.656,2,0
-0.2,64,17,0.419,1,0
2.5,57,30,0.463,1,0
2.3,66,35,0.673,1,0
1.4,75,19,0.625,0,0
1.6,77,28,0.725,0,0
1.2,81,26,0.629,1,0
0.8,86,30,0.584,2,0
0.7,87,30,0.347,0,0
1.5,85,20,0.484,2,0
1.2,85,24,0.433,1,0
1.6,84,17,0.422,1,0
2.0,81,24,0.787,2,0
2.6,77,22,0.497,0,0
1.4,72,30,0.746,2,0
0.7,64,26,0.616,2,0
-0.2,64,26,0.697,1,0
-1.4,61,30,0.551,0,0
-3.1,55,30,0.588,2,0
-4.0,54,17,0.546,0,0
-4.9,54,15,0.398,1,0
-5.7,53,15,0.661,0,0
-6.4,53,13,0.44,1,0
-6.6,57,9,0.312,0,0
-7.3,55,13,0.623,2,0
-8.6,57,19,0.389,1,0
-9.5,55,17,0.77,2,0
-10.7,56,17,0.777,1,0
-12.0,56,19,0.757,0,0
-12.7,57,19,0.485,0,0
-13.4,57,17,0.308,1,0
-13.9,55,19,0.764,1,0
-14.4,57,20,0.514,1,0
-14.4,57,13,0.783,0,0
-14.7,57,15,0.782,1,0
-14.3,58,15,0.727,1,0
-13.9,55,11,0.447,2,0
-13.4,54,15,0.493,1,0
-12.7,53,17,0.726,2,0
-12.2,52,19,0.458,2,0
-11.4,52,20,0.385,2,0
-11.6,50,20,0.578,0,0
-11.8,47,20,0.768,2,0
-11.9,51,26,0.648,1,0
-12.0,52,24,0.585,0,0
-11.8,54,30,0.349,0,0
-11.2,57,24,0.608,0,0
-11.2,65,19,0.795,0,0
-10.8,65,22,0.37,0,0
-10.7,67,20,0.559,0,0
-10.0,66,19,0.739,0,0
-9.8,65,24,0.67,2,0
-9.4,64,26,0.649,1,0
-9.0,63,33,0.651,1,0
-8.5,64,22,0.48,2,0
-8.0,64,30,0.447,2,0
-7.6,65,28,0.705,0,0
-7.3,65,28,0.705,0,0
-7.1,72,33,0.734,2,0
-6.8,75,33,0.757,0,0
-6.2,77,35,0.556,1,0
-6.0,76,32,0.551,1,0
-5.8,79,32,0.699,0,0
-5.8,81,33,0.625,0,0
-5.7,81,28,0.651,0,0
-5.2,83,26,0.698,1,0
-4.9,83,33,0.745,0,0
-5.1,83,33,0.469,2,0
-5.4,81,35,0.488,0,0
-5.0,82,30,0.347,2,0
-5.0,81,28,0.589,0,0
-4.7,80,24,0.318,0,0
-4.1,81,26,0.533,1,0
-4.6,83,28,0.571,2,0
-5.1,83,28,0.443,2,0
-5.0,81,24,0.595,2,0
-4.8,81,22,0.315,1,0
-4.5,83,19,0.319,2,0
-5.0,83,24,0.711,1,0
-5.1,82,20,0.48,0,0
-5.4,83,22,0.364,0,0
-5.1,82,22,0.561,2,0
-5.1,83,26,0.685,0,0
-5.0,84,32,0.408,0,0
-4.8,83,26,0.611,2,0
-4.8,83,28,0.343,0,0
-4.8,81,24,0.326,2,0
-4.9,83,20,0.566,2,0
-4.8,85,6,0.57,0,0
-4.3,85,13,0.619,0,0
-3.7,84,11,0.663,0,0
-2.9,87,15,0.788,0,0
-1.7,89,26,0.558,0,0
-2.5,86,33,0.461,1,0
-3.2,87,32,0.698,0,0
-4.8,79,37,0.435,1,0
-5.5,70,32,0.519,2,0
-7.6,75,35,0.339,0,0
-8.9,72,39,0.313,0,0
-9.7,69,24,0.781,0,0
-11.2,70,28,0.718,2,0
-12.0,71,24,0.648,1,0
-13.4,63,20,0.504,1,0
-14.3,63,24,0.387,0,0
-15.2,63,24,0.378,0,0
-16.8,63,26,0.425,0,0
-17.9,62,20,0.575,0,0
-18.0,61,19,0.657,2,0
-18.0,60,22,0.63,0,0
-17.8,59,20,0.44,2,0
-17.5,58,20,0.777,0,0
-17.1,55,17,0.669,1,0
-16.7,56,17,0.577,1,0
-16.7,56,22,0.606,0,0
-16.7,52,19,0.51,0,0
-17.4,54,13,0.424,2,0
-17.7,56,20,0.478,0,0
-18.3,59,17,0.679,0,0
-19.6,58,13,0.307,0,0
-20.0,59,11,0.358,1,0
-19.9,58,13,0.323,2,0
-20.3,59,9,0.32,1,0
-21.2,61,11,0.728,2,0
-21.1,61,9,0.652,1,0
-21.4,63,9,0.537,0,0
-20.7,62,4,0.349,1,0
-21.0,61,0,0.546,1,0
-21.3,63,6,0.537,2,0
-23.2,62,7,0.387,2,0
-22.8,62,9,0.517,1,0
-23.3,62,7,0.499,2,0
-22.2,60,9,0.608,2,0
-20.6,58,9,0.618,2,0
-19.3,55,9,0.323,2,0
